11:38 || Information || Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager || User profile is available. Using '"C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys"' as key repository and Windows DPAPI to encrypt keys at rest. ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.simple-line-icons.css - - - 200 - text/css 19.0044ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.Chart.min.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.bootstrap.min.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.bootstrap.min.js - - - 200 - application/javascript 0.2734ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.moment.min.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.moment.min.js - - - 200 - application/javascript 1.4640ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.tempusdominus-bootstrap-4.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.spin.min.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.spin.min.js - - - 200 - application/javascript 0.2794ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.jquery.min.js - - - 200 - application/javascript 15.8394ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.tempusdominus-bootstrap-4.js - - - 200 - application/javascript 6.8338ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.Chart.min.js - - - 200 - application/javascript 11.1346ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.bootstrap.min.css - - - 200 - text/css 33.2282ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.styles.css - - - 200 - text/css 15.8689ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.log.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.log.js - - - 200 - application/javascript 0.1767ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/_framework/aspnetcore-browser-refresh.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/_framework/aspnetcore-browser-refresh.js - - - 200 12000 application/javascript;+charset=utf-8 2.1437ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.home.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.home.js - - - 200 - application/javascript 0.1246ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/_vs/browserLink - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 9.6251ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/font.Simple-Line-Icons.woff2 - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/font.fontawesome-webfont.woff2 - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/font.Simple-Line-Icons.woff2 - - - 200 - font/woff2 0.1785ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/font.fontawesome-webfont.woff2 - - - 200 - font/woff2 0.7014ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/favicon.ico - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/favicon.ico - - - 404 0 - 22.6958ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/Dashboard/BasicLog?All=true - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/Dashboard/BasicLog?All=true - - - 200 - text/html 67.6263ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.simple-line-icons.css - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.simple-line-icons.css - - - 200 - text/css 0.1730ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.bootstrap.min.css - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.tempusdominus-bootstrap-4.min.css - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.font-awesome.min.css - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.bootstrap.min.css - - - 200 - text/css 0.6235ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.tempusdominus-bootstrap-4.min.css - - - 200 - text/css 0.1466ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.font-awesome.min.css - - - 200 - text/css 0.2217ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.styles.css - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.jquery.min.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.Chart.min.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.styles.css - - - 200 - text/css 0.9403ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.jquery.min.js - - - 200 - application/javascript 0.8857ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.Chart.min.js - - - 200 - application/javascript 1.1411ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.bootstrap.min.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.moment.min.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.bootstrap.min.js - - - 200 - application/javascript 0.2245ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.moment.min.js - - - 200 - application/javascript 0.1922ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.tempusdominus-bootstrap-4.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.spin.min.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.spin.min.js - - - 200 - application/javascript 0.3364ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.tempusdominus-bootstrap-4.js - - - 200 - application/javascript 0.7774ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.log.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.log.js - - - 200 - application/javascript 0.3379ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.basicLog.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/_framework/aspnetcore-browser-refresh.js - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/_framework/aspnetcore-browser-refresh.js - - - 200 12000 application/javascript;+charset=utf-8 0.1044ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.basicLog.js - - - 200 - application/javascript 0.1825ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/_vs/browserLink - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 8.8397ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/font.fontawesome-webfont.woff2 - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/font.Simple-Line-Icons.woff2 - - ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/font.Simple-Line-Icons.woff2 - - - 200 - font/woff2 0.1889ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/font.fontawesome-webfont.woff2 - - - 200 - font/woff2 0.7338ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/LogInfo application/json 234 ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/LogInfo application/json 234 - 200 - text/html 28.4150ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/Searchlog application/json 39 ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/Searchlog application/json 39 - 200 - text/json 15.1742ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/Searchlog application/json 39 ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/Searchlog application/json 39 - 200 - text/json 7.8780ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/Searchlog application/json 39 ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/Searchlog application/json 39 - 200 - text/json 8.2142ms ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/Searchlog application/json 40 ||  ||end 
11:39 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/Searchlog application/json 40 - 200 - text/json 6.3629ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/Searchlog application/json 145 ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/Searchlog application/json 145 - 200 - text/json 14.5769ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/LogInfo application/json 245 ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 POST http://localhost:44322/LogDashboard/Dashboard/LogInfo application/json 245 - 200 - text/html 5.0883ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard - - - 200 - text/html 33.8998ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.simple-line-icons.css - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.simple-line-icons.css - - - 200 - text/css 0.2022ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.bootstrap.min.css - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.font-awesome.min.css - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.font-awesome.min.css - - - 200 - text/css 4.8851ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.tempusdominus-bootstrap-4.min.css - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/css.styles.css - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.jquery.min.js - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.tempusdominus-bootstrap-4.min.css - - - 200 - text/css 1.1710ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/_framework/aspnetcore-browser-refresh.js - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/_framework/aspnetcore-browser-refresh.js - - - 200 12000 application/javascript;+charset=utf-8 0.0747ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.Chart.min.js - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.bootstrap.min.js - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.bootstrap.min.css - - - 200 - text/css 11.1701ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.moment.min.js - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.bootstrap.min.js - - - 200 - application/javascript 1.0688ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.moment.min.js - - - 200 - application/javascript 0.9122ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.tempusdominus-bootstrap-4.js - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.spin.min.js - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.spin.min.js - - - 200 - application/javascript 2.0966ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.log.js - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.log.js - - - 200 - application/javascript 0.5127ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/_vs/browserLink - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/js.home.js - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.home.js - - - 200 - application/javascript 0.5386ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/css.styles.css - - - 200 - text/css 22.9754ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.tempusdominus-bootstrap-4.js - - - 200 - application/javascript 15.5429ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.Chart.min.js - - - 200 - application/javascript 20.0810ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/js.jquery.min.js - - - 200 - application/javascript 22.1713ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 12.1653ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/font.Simple-Line-Icons.woff2 - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/LogDashboard/font.fontawesome-webfont.woff2 - - ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/font.Simple-Line-Icons.woff2 - - - 200 - font/woff2 0.1986ms ||  ||end 
11:40 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/LogDashboard/font.fontawesome-webfont.woff2 - - - 200 - font/woff2 0.7366ms ||  ||end 
11:42 || Information || Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager || User profile is available. Using '"C:\Users\Administrator\AppData\Local\ASP.NET\DataProtection-Keys"' as key repository and Windows DPAPI to encrypt keys at rest. ||  ||end 
11:42 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/swagger/index.html - - ||  ||end 
11:42 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/_framework/aspnetcore-browser-refresh.js - - ||  ||end 
11:42 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/_framework/aspnetcore-browser-refresh.js - - - 200 12000 application/javascript;+charset=utf-8 2.7146ms ||  ||end 
11:42 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/_vs/browserLink - - ||  ||end 
11:42 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/swagger/index.html - - - 200 - text/html;charset=utf-8 280.4724ms ||  ||end 
11:42 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 23.0014ms ||  ||end 
11:42 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting HTTP/1.1 GET http://localhost:44322/swagger/v1/swagger.json - - ||  ||end 
11:42 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished HTTP/1.1 GET http://localhost:44322/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 88.9565ms ||  ||end 
